text,setiment
getti imagesnew delhi sever stock ralli much mumbai trade friday even equiti benchmark bse sensex nse nifti trade red amid brisk sell frontlin bluechip counter stock surg excess includ marathon nextgen lypsa gem v retail ltd navkar corp svam softwar share bse sensex end point share index nse close point nifti index stock close green stock end red meanwhil stock marathon nextgen essar sec filtra consult tree hous edu dynacon sy hit fresh week high tierra agrotech ltd mayukh dealtrad nanavati ventur ltd wardwizard innov pp seacoast ship touch new week low today trade,negative
shutterstock comrsi turn north level confirm bullish new delhi fertilis share close lower friday session madhya bharat agro product agro pho stood among top gainer nagarjuna fertil chem deepak fertil petrochem chambal fertilis chemic ari agro zuariagro southern petrochem industri khaitan chemic fertil rashtriya chemic fertil fertil chemic tranvancor nation fertil among top loser day nse nifti index end point share bse sensex close point relianc industri larsen toubro infosi sun pharmaceut industri tata consult hcl technolog hindustan unilev wipro power grid corpor india tech mahindra stood among top gainer nifti pack hand grasim industri ultratech cement shree cement hero motocorp maruti suzuki cipla ntpc axi bank indusind bank jsw steel close red,negative
reuterson immedi basi level would major hurdl new delhi share berger paint india ltd trade per cent monday trade pm ist around share chang hand counter scrip open rs touch intraday high low rs rs respect session far share compani berger paint india ltd quot week high rs week low rs total market cap berger paint india ltd stood rs crore time write report etmarket smart talk fund manag happi watch ralli adani stock sidelin key financi compani report consolid net sale rs crore quarter end dec per cent previou quarter rs crore per cent year ago quarter rs crore net profit latest quarter stood rs crore per cent correspond quarter last year sharehold pattern mar domest institut investor held per cent stake firm foreign institut investor held per cent promot per cent valuat ratio accord bse data stock trade price earn multipl price book ratio higher p e ratio show investor will pay higher price better futur growth expect price book valu indic inher valu compani measur price investor readi pay even growth busi berger paint india ltd belong paint varnish industri,negative
getti imagesnew delhi nifti bank index close neg note friday share feder bank per cent bank baroda per cent end day top gainer pack hand kotak mahindra bank per cent bandhan bank per cent hdfc bank per cent icici bank per cent au small financ bank per cent finish top loser day nifti bank index close per cent benchmark nse nifti index end point bse sensex stood point among stock nifti index end green close red share vodafon idea suzlon energi ye bank zomato ltd jp power among trade share nse share marathon nextgen tree hous edu dynacon sy kpi global infra bombay metric suppli chain ltd hit fresh week high today trade kriti ind softtech engin tembo global indust indo nat ltd kaya hit fresh week low,negative
thinkstock photosth share price pi industri ltd drop per cent rs pm ist tuesday trade scrip hit high rs low rs far session stock close rs previou session counter total trade volum share far valu rs crore nse trade price earn multipl price book ratio higher p e ratio show investor will pay higher price per rupe earn given stock better futur growth expect etmarket smart talk india invest landscap wider em despit premium valuat piyush sharma price book valu indic inher valu compani reflect price investor will pay even growth busi scrip declin per cent past one year share index advanc per cent period pi industri ltd belong pesticid agro chem industri promotor fii hold promot held per cent stake compani mar oversea investor domest institut investor ownership stood per cent per cent respect key financi firm report consolid net sale rs crore quarter end mar per cent previou quarter rs crore per cent year ago quarter rs crore profit latest quarter stood rs crore per cent quarter year ag,negative
agenciesmorgan stanley remain overweight pb fintech polici bazaar follow line march quarter result jefferi maintain underperform rate mahindra mahindra clsa maintain sell jsw steel feel q ebitda line uncertainti drive stock underperform morgan stanley remain overweight pb fintech polici bazaar follow line march quarter result jefferi maintain underperform rate mahindra mahindra clsa maintain sell jsw steel feel q ebitda line uncertainti drive stock underperform pb fintech morgan stanley target rs believ product metric pois improv adjust ebitda line overal loss march quarter lower estim said revenu beat said driven higher posp busi take rate improv product due synerget combin said pb fintech oper insur marketplac policybazaar credit platform paisabazaar report loss rs crore fourth quarter rs crore year ago period jsw steel clsa said cost pressur unrel leverag may remain elev long term polici overhang cost pressur drive underperform said suggest target rs scrip jsw steel saw consolid net profit quarter fall per cent rs crore rs crore quarter last year jefferi note q volum grew per cent yoy ebitda fell per cent maintain underperform rate stock target rs tractor maker saturday report per cent year year yoy rise standalon profit except item rs crore march quarter compar rs crore quarter last year standalon profit figur came lower rs crore estim analyst et poll disclaim recommend suggest view opinion given expert repres view econom time origin publish may,negative
analyst see continu pose immedi resist share ashok leyland ltd slip per cent rs monday trade pm ist stock hit high price rs low rs session return equiti roe stock stood per cent trade volum counter stood pm share turnov rs crore around time etmarket smart talk india invest landscap wider em despit premium valuat piyush sharma stock ashok leyland ltd quot week high week low price rs rs respect beta valu counter measur volatil relat broader market stood promotor fii hold promot held per cent stake compani mar fii held per cent domest institut investor per cent key financi compani report consolid sale rs crore quarter end mar per cent previou quarter rs crore per cent year ago quarter rs crore net profit tax latest quarter stood rs crore per cent quarter year ag,negative
agenciesindia year bond yield rose per cent trade rang new delhi nifti bank index close neg note wednesday share end day top gainer pack hand au small financ bank per cent bandhan bank per cent axi bank per cent kotak mahindra bank per cent state bank india per cent finish top loser day nifti bank index close per cent benchmark nse nifti index end point bse sensex stood point among stock nifti index end green close red share ongc zomato ltd vodafon idea ntpc idfc first bank among trade share nse share dhanvarsha finvest axita cotton priti intern ace integr solut globesecur technolog ltd hit fresh week high today trade lasa supergener sagardeep alloy relianc home fin lattey industri hec infra project hit fresh week low,negative
new delhi share adani transmiss lost per cent earli trade friday discom player report declin per cent consolid net profit rs crore march quarter consolid net profit compani rs crore quarter end march adani transmiss scrip fell low rs rs previou close bse stock last trade per cent lower total incom rose rs crore quarter rs crore year ago period report said accord compani declin profit account net forex movement mark market rs crore distribut busi report said accord report compani sale declin per cent rs crore quarter end march rs crore previou quarter end march full year adani transmiss net loss rs crore year net loss rs crore previou year end march report said sale declin per cent rs crore year end march rs crore previou year end march,negative
agenciesrelatedadani enterpris share jump totalenergi pick stake armahead market thing decid st action wednesdayahead market thing decid street action tuesdayindian market close red second consecut day row tuesday follow mute global cue p bse sensex point nifti close level sector sell pressur seen energi oil ga auto financ metal stock buy seen realti capit good power util stock focu includ name like hpcl nearli per cent adani enterpris rose per cent adani wilmar ralli nearli per cent monday viral chheda technic analyst ssj financ secur recommend investor stock market resum trade today hpcl sell rallyaft make year high rs novemb price given sharp selloff trade around rs odd level stock made lower top lower bottom pattern period stori adani enterpris share jump totalenergi pick stake armahead market thing decid st action wednesdayahead market thing decid street action tuesday back recommend storiesi want see stori becausethey relev methey disrupt read flowotherssubmitfrom februari till date seen price make head shoulder pattern necklin stand rs odd level current week price breach pattern high volum lower side see downsid till rs odd level sell pressur wit level henc would recommend sell stock everi rise everi higher level close rs level could add stabil stock could see upsid bia favour downsid recommend investor avoid buy level sell rise around rs odd level downsid target rs next month adani enterpris buyfrom low rs march stock given sharp upsid ralli make time high rs januari volum quit high period high rs price correct take support wma rs gave sharp upsid ralli make new time high rs odd level current move rang mere point past month rel higher volum price breach rang higher side see stock make new high price also move major averag good sign bull run henc recommend investor buy level dip toward rs stop loss rs close basi upsid see level rs odd level next month adani wilmar buyat time list stock open offer price make low rs saw sharp upsid ralli point particular week feb mar price move consolid phase breach rang higher side price gave upward move make time high rs odd level high rs price retrac almost previou ralli make low around rs current move rs odd level see upsid till rs level current level see posit diverg goe dma rs sharp upward move seen henc recommend buy level dip rs stop loss rs close basi target rs next month disclaim recommend suggest view opinion given expert repres view econom time,negative
istocknew delhi share zee learn tumbl per cent earli trade tuesday ye bank file plea insolv proceed educ compani privat sector lender move nation compani law tribun nclt seek initi insolv proceed zee learn accord regulatori file follow develop share zee learn tank per cent rs recov rs scrip settl rs monday compani said ye bank allegedli claim total amount default respect financi facil rs crore share ye bank advanc per cent tuesday news broke zee learn receiv notic mumbai bench nclt ye bank petit process compil inform verifi fact file said compani receiv notic petit april petit section insolv bankruptci code file ye bank limit initi corpor insolv resolut process cirp compani nclt mumbai ad zee learn essel group compani mainli oper educ segment chain k school mount litera zee school pre school network kidze,negative
getti imagesretail bank stock rose per cent per cent respect insight read stock insight et quick analysi nsebsecmm infraproject ltd peer companiesexplor nownew delhi nifti index close neg note friday share coforg per cent end day top gainer pack hand mphasi per cent wipro per cent tata consult per cent l technolog per cent larsen toubro infotech per cent finish top loser day nifti index close per cent benchmark nse nifti index end point bse sensex stood point among stock nifti index end green close red share vodafon idea ye bank sail suzlon energi rbl bank among trade share nse share globesecur technolog ltd hal kohinoor food globe intl carrier cmm infraproject ltd hit fresh week high today trade biofil chem vivim lab skm egg prod jtl infra jubil life hit fresh week low,negative
getti imagesindia year bond yield fell per cent trade rangenew delhi share silver touch tech lexu granito india empyrean cashew ltd avro india le merit export ltd hit fresh week high ist nse benchmark nse nifti index fell point amid sell frontlin bluechip stock howev stock dishman carbogen man industri welspun india birla tyre futur suppli chain touch fresh week low overal share trade green nifti index trade red nifti index hdfc life upl ongc sbi life bharti airtel among top gainer asian paint hul shree cement infosi l trade red bse sensex trade point ist trader seen pile posit telecommun ga petroleum power servic rubber sector sell visibl engin agro process tourism hospit media entertain hardwar sector,negative
getti imagesnifti move tight rang point end slightli psycholog crucial level new delhi mine stock trade lower wednesday ashapura minechem coal india pokarna aro granit industri nmdc ltd orient trimex among top gainer orissa miner develop compani kiocl gujarat miner dvpt corpor moil micron among top loser nse nifti index trade point share bse sensex point around oil natur ga corpor coal india ntpc tata steel state bank india jsw steel sbi life grasim industri titan compani ltd bajaj finserv among top gainer nifti pack hand britannia industri nestl india upl ltd asian paint tata consum product bharti airtel relianc industri larsen toubro itc hindustan unilev trade,negative
reutersinvestor therefor use dip toward advantag accumul qualiti largecap midcap new delhi nifti realti index trade neg around ist monday weak market brigad enterpris per cent among top gainer indiabul real estat per cent macrotech develop per cent dlf per cent phoenix mill per cent godrej properti per cent top loser index nifti realti index per cent time write report benchmark nse nifti index point bse sensex point among stock nifti index trade green red share ye bank vodafon idea tata power ntpc bank baroda among trade share nse share pearl polym magadh sugar energi rel ind infra tcpl packag bang oversea hit fresh week high today trade debock sale mktg ritco logist mcdowel hold hit fresh week low trad,negative
reuterstak nifti bull roller coaster ride stock market confirm uptrend month back shift uptrend pressur mode shift downtrend mode new delhi take nifti bull roller coaster ride stock market confirm uptrend month back shift uptrend pressur mode shift downtrend mode hit week low last week nifti back ralli attempt phase bull bought dip genet pre program technic indic howev yet suggest nifti bottom market direct chang crucial keep watchlist readi act accordingli great way find worthi watchlist choic focu stock hold well correct financi servic firm william neil india said note investor etmarket smart talk srikanth subramanian decod factor could derail momentum st suggest investor find stock higher rel strength rate would also want stock hail lead group insist solid group rank fundament strength also play vital role rememb look best market offer mean find stock good quarterli sale profit growth ep rank help said analysi show rs rate lead bank stock high weightag nifti improv last five week posit indic rs rate stock also improv last week accord report sector potenti market leader nifti ralli hand rs rate metal stock pressur due fall commod price poor show sign improv rs rate tata steel hindalco jsw steel drop indic damag deep might need time repair report said similarli rs rate realti stock also deterior notabl pharma stock remain rel unchang without tri predict decod stori take market give continu monitor unfold condit stock break base higher rel strength superior fundament well william neil india said last one month period nifti nifti fallen per cent nifti bank per cent metal stock biggest wealth erod metal index per cent month pharma index hand lost per cent valu disclaim recommend suggest view opinion given expert repres view econom time,negative
titan compani said jewelleri segment sale quarter partli hit surg gold price march per cent earli month relatedrakesh jhunjhunwala top bet titan report tepid sale qnew delhi per cent drop titan compani jewelleri segment sale march quarter go well market scrip declin per cent earli trade thursday mani analyst maintain price target tata group stock call subdu quarterli sale one event kotak institut equiti expect per cent growth jewelleri segment sale impli deceler year cagr per cent q per cent q expect demand recoveri gold price stabilis though per cent downsid risk fy fy jewelleri sale per cent risk fy earn estim view q blip promis stori said titan compani said jewelleri segment sale quarter partli hit surg gold price march per cent earli month omicron also impact demand januari even busi bounc back februari titan said jewelleri busi top citi grew singl digit wherea rest india saw declin perform trend edelweiss said underli structur growth stay unchang believ correct stock opportun buy brokerag maintain target ev ebitda time unchang target rs stock rakesh jhunjhunwala better half rekha held per cent stake titan compani decemb amount rs crore wednesday stock price quarter plain gold jewelleri sale declin margin stud sale grew high singl digit augur well margin view inventori gain diamond price per cent q yet expect jewelleri ebit margin bp estim per cent given lower expect oper leverag kotak secur net store expans compani said continu per plan commiss new store tanishq mia tanishq zaya amnish aggarw director research prabhuda lilladh said channel check suggest industri sale per cent sequenti tanishq gain share given structur tailwind diamond price said jump per cent past month brokerag expect diamond price remain firm given russian avail expect jewelleri busi sustain strong margin due inventori gain diamond q q well said motil oswal financi servic said gold price stabilis lower level end quarter wed demand remain healthi less likelihood disrupt covid wave could residu impact qfye well structur invest case titan remain intact maintain buy rate tp rs premis time march ep said prabhuda lilladh aggarw said titan well place capitalis long term growth led benefit hallmark omni channel strategi across jewelleri watch eyewear new growth driver like caratlan titan eye taneira also posit titan entri high growth segment like headphon truli wireless earphon estim per cent pat cagr fy arriv dcf base target price rs rs earlier although structur stori remain intact expect back end return given rich valuat time fy ep said suggest target rs watch wearabl divis saw per cent sale growth despit challeng extern environ sale increas across offlin channel back titan brand tata group firm said eyewear segment saw per cent yoy growth quarter led frame sunglass,negative
getti imagesretail bank stock rose per cent per cent respect share indraprastha ga ltd trade per cent rs pm ist friday even bse benchmark sensex drop point scrip close rs previou session stock quot week high price rs week low rs respect per bse data total trade volum counter till pm ist stood share turnov rs crore current price share compani trade time trail month ep rs per share time price book valu bse data show etmarket smart talk india invest landscap wider em despit premium valuat piyush sharma higher p e ratio show investor will pay higher share price today growth expect futur price book valu indic inher valu compani reflect price investor readi pay even growth busi stock beta valu measur volatil relat broader market stood sharehold detail promot held per cent stake compani mar fii own per cent dii per cent technic technic chart rel strength index rsi stock stood rsi oscil zero tradit consid overbought condit rsi valu oversold condit chartist say rsi seen isol may suffici take trade call way fundament analyst cannot give buy sell recommend use singl valuat rati,negative
getti imagesshar larsen toubro infotech ltd slip per cent rs thursday trade ist stock hit high price rs low rs session return equiti roe stock stood per cent trade volum counter stood share turnov rs crore around time etmarket smart talk reshma banda share invest philosophi known garp strategi stock larsen toubro infotech ltd quot week high week low price rs rs respect beta valu counter measur volatil relat broader market stood promotor fii hold promot held per cent stake compani mar foreign investor held per cent domest institut investor per cent key financi compani report consolid sale rs crore quarter end mar per cent previou quarter rs crore per cent year ago quarter rs crore net profit tax latest quarter stood rs crore per cent quarter year ago,negative
shutterstock comagarw said global economi show clear sign recoveri second wave covid eb india total activ case less per cent may high new delhi ril rs crore tata steel rs crore hdfc bank rs crore gnfc rs crore infosi rs crore hdfc rs crore icici bank rs crore campu activewear ltd rs crore rainbow children medicar ltd rs crore asian paint rs crore among trade secur nation stock exchang tuesday session nse nifti index end session point bse sensex fell point nifti index eicher motor ltd per cent hindustan unilev ltd per cent asian paint ltd per cent indusind bank ltd per cent ultratech cement ltd per cent stood among top gainer hand coal india ltd per cent tata steel ltd per cent oil natur ga corpor ltd per cent jsw steel ltd per cent hindalco industri ltd per cent among top loser day,negative
reutersnifti continu climb wall worri look final leg ralli head correct new delhi nifti index trade neg around ist friday weak market mindtre per cent hcl technolog per cent l technolog per cent larsen toubro infotech per cent tech mahindra per cent among top gainer tata consult per cent infosi per cent coforg per cent wipro per cent top loser index nifti index per cent time write report benchmark nse nifti index point bse sensex point among stock nifti index trade green red share shree ren sug l fin hold vodafon idea jp power suzlon energi among trade share nse share borosil renew marathon nextgen onmobil global texmaco rail navkar corp hit fresh week high today trade akash infra proj birla tyre suprem infra sp refractori ltd hit fresh week low trad,negative
getti imagesnew delhi sever stock ralli much mumbai trade tuesday even equiti benchmark bse sensex nse nifti trade red amid brisk sell frontlin bluechip counter stock surg excess includ modipon ltd peco hotel pub nagreeka export aditya ispat dharamsi morarji grse share bse sensex end point share index nse close point nifti index stock close green stock end red meanwhil stock peco hotel pub nagreeka export dharamsi morarji grse sakuma export hit fresh week high mileston furnitur tilak ventur pp suprem infra brandbucket media technolog ltd prabhat tech touch new week low today trade,negative
getti imagesnew delhi sugar share close lower thursday session ponni sugar erod stood among top gainer dalmia bharat sugar industri dcm shriram industri uttam sugar mill magadhsugar avadhsugar mawana sugar bajajhind k sugar mill balrampur chini mill dhampur sugar mill among top loser day nse nifti index end point share bse sensex close point britannia industri axi bank hdfc life insur state bank india divi laboratori sbi life kotak mahindra bank ntpc dr reddi laboratori larsen toubro stood among top gainer nifti pack hand bajaj auto cipla eicher motor bharat petroleum corpor tech mahindra bajaj financ jsw steel shree cement tata consum product upl ltd close red,negative
shutterstock compalm oil world wide use veget oil account per cent suppli top four edibl oil new delhi ban export palm oil indonesia hit india hardest largest import veget oil world even number stock feel heat veget oil price rise inflat major problem fmcg consum qsr sector hike price absorb impact anoth price hike might major challeng compani palm oil world wide use veget oil account per cent suppli top four edibl oil global palm oil product slump due drop migrant labour plantat across southeast asia palm oil rel cheaper oil amongst edibl oil move expect caus price increas edibl oil soybean oil sunflow oil said prabhuda lilladh report market expert believ shortag edibl oil impact fmcg segment like biscuit cake soap shampoo signific input fmcg industri may experi margin compress due price hike vk vijayakumar chief invest strategist geojit financi servic said hul godrej consum itc britannia like impact rise cost input compani might abl pass major part higher cost consum full burden shift may dent volum ad fmcg sector alreadi struggl due rise cost packag thank boil crude oil biggest import india highli depend asian nation like indonesia malaysia fulfil demand million tonn palm oil per year ukrain war led larg suppli deficit cook oil across globe lead price palm soy oil record high export ban increas malaysian tax exacerb problem echo similar view santosh meena head research swastika investmart said turmoil neg affect fmcg compani like hul nestl britannia godrej consum product marico among other high price leav packag food product manufactur soap manufactur person care manufactur option rais price thu affect volum ad take step ahead prabhuda lilladh said palm oil key ingredi major food process industri qsr impact cost margin believ impact would seen categori biscuit noodl cake potato chip frozen dessert ad qsr like westlif develop burger king also feel pinch given edibl oil usag cook fri patti fri financi firm buy rate qsr firm like westlif develop restaur brand asia suggest accumul jubil foodwork current level new ban would like keep price firm bullish near term time ban get revers global commod price becom stabl said financi firm report disclaim recommend suggest view opinion given expert repres view econom time,negative
getti imagesindia year bond yield declin per cent trade rang new delhi nifti realti index close neg note wednesday share phoenix mill per cent indiabul real estat per cent end day top gainer pack hand prestig estat project per cent godrej properti per cent dlf per cent oberoi realti per cent macrotech develop per cent finish top loser day nifti realti index close per cent benchmark nse nifti index end point bse sensex stood point among stock nifti index end green close red share ye bank vodafon idea zomato ltd indian oil corp suzlon energi among trade share nse share bl int servic ge ship mrpl vadil ind gokalda export hit fresh week high today trade rout mobil muthoot capit metropoli health dr lal pathlab amber enterpris hit fresh week low,negative
getti imagesnew delhi man industri welspun india dishman carbogen ibul hous fin infibeam avenu other among stock touch week low ist wednesday session domest benchmark index nse nifti fell point bse sensex trade point hand silver touch tech lexu granito india empyrean cashew ltd avro india kohinoor food stock hit fresh week high today nifti index hdfc life ongc upl kotak bank bharti airtel among top gainer nse shree cement asian paint hul infosi maruti suzuki among top loser,negative
agenciesmazhar mohammad chartviewindia said technic indic turn mix weekli macd chart gener buy signal give edg bull new delhi nifti realti index trade neg around ist friday weak market macrotech develop per cent among top gainer dlf per cent prestig estat project per cent phoenix mill per cent godrej properti per cent oberoi realti per cent top loser index nifti realti index per cent time write report benchmark nse nifti index point bse sensex point among stock nifti index trade green red share vodafon idea jp power l fin hold shree ren sug suzlon energi among trade share nse share borosil renew marathon nextgen onmobil global navkar corp texmaco rail hit fresh week high today trade akash infra proj birla tyre suprem infra sp refractori ltd hit fresh week low trad,negative
istockrelatedaft ralli year stock show weak ahead hdfc twin tc infosi among top wealth destroyersnew delhi latest round sell indian equiti market push benchmark indic per cent lower five session thank sharp fall select index heavyweight counter five trade session april bse sensex tumbl per cent wherea nse counterpart nifti margin outperform bse baromet per cent drop howev second rung stock outperform headlin peer bse midcap smallcap indic tumbl per cent bse index constitut per cent bse market cap per cent unab foreign fund outflow rise inflationari concern spike crude oil price disappoint india inc earn geopolit worri due war russia ukrain made investor nervou said market expert near term chang view avoid financi corpor cycl kick back see bank balanc sheet start expand price power chang view time get lot compani fairli attract valuat say kenneth andrad cio old bridg capit manag word caution interview et trideep bhattacharya cio edelweiss amc said investor bewar volatil equiti market invest tranch next month stori ralli year stock show weak ahead hdfc twin tc infosi among top wealth destroy back recommend storiesi want see stori becausethey relev methey disrupt read flowotherssubmit posit domest cyclic form industri lend financi direct indirect play real estat portfolio construct wherea stay neutral neg pharma servic consum stapl util ad accord data ace equiti mani stock bse regist doubl digit drop sinc april major name tier ii tier iii categori fall per cent interestingli per cent stock bse index deliv neg return investor period review list laggard top bajaj hold invest drop per cent nbfc scrip settl rs april rs april midcap compani includ zensar technolog l technolog servic mindtre compani tank per cent decent set number march quarter brokerag firm axi secur posit mindtre buy rate target price rs howev icicidirect maintain hold rate stock major infosi also tumbl per cent period report disappoint number quarter end march result fail analyst multipl paramet major brokerag includ jefferi morgan stanley jp morgan clsa nomura cut target price infosi per cent fourth quarter number came expect alok industri brightcom group also tumbl per cent follow per cent drop intellect design arena birlasoft hous develop financ corpor indiabul real estat etmarket com ye bank happiest mind mastek tata teleservic vodafon idea tank dozen per cent wherea tata elxsi hdfc bank persist system kpit technolog tata power drop per cent last five session major domest brokerag includ motil oswal edelweiss kotak secur nirmal bang posit hdfc bank india largest privat lender recommend buy brokerag firm sharekhan gave buy rate mastek target price rs earlier month wherea icici secur downgrad tata power hold recent larsen toubro infotech stride pharma scienc sanofi india suzlon energi macrotech develop iol chemic pharmaceut tech mahindra lind india delta corp counter regist doubl digit cut etmarket com vijay singhania chairman tradesmart said stock higher capit amongst midcap sector along smaller bank chosen invest wherea real estat sector avoid due possibl rate hike contrari stock minda corp nhpc dial deepak fertilis mrpl bharat dynam capri global godfrey phillip adani green bse index ralli per cent period etmarket com,negative
agenciesshar robinhood market inc brokerag center last year retail trade frenzi slip record low thursday post fall first quarter revenu declin monthli activ user share menlo park california base firm drop extend trade follow result share lost market valu far year sold ipo last juli apiec histori robinhood oper period low interest rate low inflat rise market custom experienc three trend go opposit direct perhap first time live said robinhood chief execut offic vlad tenev call analyst trade volum eas last year frenet pace retail investor use platform pump money share call meme stock includ gamestop amc entertain robinhood said tuesday lay full time employe ad rapid headcount growth led duplic role job function move back lean compani leaner oper model start reduct forc announc earlier week said chief financi offic jason warnick call report high growth technolog stock come pressur year poor perform share fall analyst confid sour investor sentiment common high growth tech firm robinhood yet turn profit sinc market debut compani report net loss million per share three month end march year earlier ipo compani post net loss billion per share analyst averag expect net loss per share accord ibe data refinitiv total net revenu decreas million compar million year earlier robinhood monthli activ user fell million march compar million march compani attribut declin user lower balanc transact base revenu cryptocurr boon robinhood previou quarter fell million,negative
getti imagesinsight read stock insight et quick analysi nsebsecmm infraproject ltd peer companiesexplor nownew delhi nifti auto index close neg note friday share mrf per cent ashok leyland per cent bharat forg per cent end day top gainer pack hand escort per cent hero motocorp per cent tiindia per cent maruti suzuki per cent eicher motor per cent finish top loser day nifti auto index close per cent benchmark nse nifti index end point bse sensex stood point among stock nifti index end green close red share vodafon idea ye bank sail suzlon energi rbl bank among trade share nse share globesecur technolog ltd hal kohinoor food globe intl carrier cmm infraproject ltd hit fresh week high today trade biofil chem vivim lab skm egg prod jtl infra jubil life hit fresh week low,negative
shutterstock comrsi turn north level confirm bullish new delhi share gallantt ispat gss infotech swaraj suit ltd sumitomo chemic cupid ltd hit fresh week high ist nse benchmark nse nifti index fell point amid sell frontlin bluechip stock howev stock futur retail karda const zee learn futur enterpris dvr futur enterpris touch fresh week low overal share trade green nifti index trade red nifti index ongc britannia power grid ntpc upl among top gainer apollo hospit titan compani dr reddi cipla sun pharma trade red bse sensex trade point ist trader seen pile posit industri equip hold compani telecommun mine tobacco sector sell visibl agro process tourism hospit media entertain learn educ gem jewelleri sector,negative
reutersstock focu ril tata motor infosi iifl secur apollo hospit punjab nation bank nbcc new delhi share hardwyn india ritco logist eldeco hous cool cap industri ltd nagreeka export hit fresh week high ist nse benchmark nse nifti index fell point amid sell frontlin bluechip stock howev stock vaxtex cotfab innov tyre touch fresh week low overal share trade green nifti index trade red nifti index maruti suzuki hdfc life tc itc kotak bank among top gainer hindalco coal india ltd tata steel tata motor grasim ind trade red bse sensex trade point ist trader seen pile posit agro process telecommun power rubber tobacco sector sell visibl industri consum textil irrig alli servic metal non ferrou mine sector,negative
reuterson must understand inflat alway tend push asset price higher period high inflat cyclic san francisco feder reserv bank presid mari dali said wednesday see coupl half point interest rate hike ahead central bank battl high inflat lift rate end year see coupl basi point hike immedi next coupl meet get need look around see els go dali said cnbc interview let get quickli said get neutral estim,negative
getti imagesnagaraj shetti technic research analyst hdfc secur believ monday pattern could consid high wave reflect high volatil market swing high share volta ltd slip per cent rs monday trade hit high rs low rs session technic chart dma stock stood rs dma rs stock trade dma dma usual mean immedi trend upward hand stock trade dma dma consid bearish trend trade averag suggest stock go either way stock trade signal line momentum indic move averag converg diverg macd signal bearish bia counter macd known signal trend revers trade secur indic differ day day exponenti move averag nine day exponenti move averag call signal line plot top macd reflect buy sell opportun hand rel strength index rsi stock stand tradit stock consid overbought rsi valu oversold return equiti roe stock stood per cent return capit employ roce roce financi ratio determin compani profit effici capit use roe measur profit busi relat equit,negative
getti imagesshrik chouhan kotak secur said nifti top mark complet unexpect share hindustan petroleum corpor ltd slip per cent rs monday trade pm ist stock hit high price rs low rs session return equiti roe stock stood per cent trade volum counter stood pm share turnov rs crore around time etmarket smart talk srikanth subramanian decod factor could derail momentum st stock hindustan petroleum corpor ltd quot week high week low price rs rs respect beta valu counter measur volatil relat broader market stood promotor fii hold promot held per cent stake compani mar fii held per cent domest institut investor per cent key financi compani report consolid sale rs crore quarter end mar per cent previou quarter rs crore per cent year ago quarter rs crore net profit tax latest quarter stood rs crore per cent quarter year ago,negative
agenciesoveral market breadth favour loser stock end green name settl cut new delhi sell pressur continu mount day day headwind becom stronger analyst advis cautiou stock qualiti name analyst read market puls nifti current place near per cent fibonacci retrac sell could drag toward psycholog mark near futur said osho krishan angel one etmarket smart talk fund manag happi watch ralli adani stock sidelin nagaraj shetti hdfc secur said short term trend nifti continu neg said look key indic suggest wednesday action us stock whipsaw brief ralli stock whipsaw concern feder reserv may take aggress stanc combat soar price move would rais risk push economi toward recess dow jone industri averag last point rise point earlier session p nasdaq composit slip respect step back earli ralli european stock rise two month low european stock gain slightli tuesday trader return risk asset encourag cheaper valuat follow four straight day steep declin amid fear recess tighter monetari polici stoxx europ index close hit two month low previou session tech view indecis candl nifti fell third day continu lower high low format index made indecis candl daili chart long upper wick bear thwart bull attempt make comeback f resist call side highest oi wit follow strike price put side highest oi follow strike price provid support nifti index stock show bullish bia momentum indic move averag converg diverg macd show bullish trade setup counter oracl financi servic macd known signal trend revers trade secur indic macd cross signal line give bullish signal indic price secur may see upward movement vice versa stock signal weak aheadth macd show bearish sign counter blue dart hdfc life castrol india schaeffler india amber enterpris mahindra cie bearish crossov macd counter indic begun downward journey activ stock valu term relianc industri rs crore tata steel rs crore hdfc bank rs crore gnfc rs crore infosi rs crore hdfc rs crore icici bank rs crore among activ stock nse valu term higher activ counter valu term help identifi counter highest trade turnov day activ stock volum term vodafon idea share trade crore ye bank share trade crore zomato share trade crore gtl infra share trade crore sail share trade crore vika ecotech share trade crore among trade stock session nse stock show buy interest power grid wit strong buy interest market particip scale fresh week high signal bullish sentiment stock see sell pressurezomato infibeam avenu indo count industri natco pharma nazara tech dhani servic solara activ pharma wit strong sell pressur hit week low signal bearish sentiment counter sentiment meter favour bear overal market breadth favour loser stock end green name settl cut,negative
