text,setiment
"ReutersOn an immediate basis, 15,770/52,500 and 15,850/52,700 levels would be major hurdles.Shares of Bajaj Holdings & Investment Ltd. fell 0.84 per cent to Rs 4450.0 at 12:28PM hours (IST) on Thursday. Earlier in the day, the stock saw a gap up start to the session. 

 As per data available on BSE, total traded quantity on the counter stood at 1,155 shares with a turnover of Rs 0.52 crore till 12:28PM (IST). The stock traded at a price-to-earnings (P/E) multiple of 12.23, while the price-to-book value ratio stood at 1.3. 

 Return on equity (ROE) was at 9.46 per cent, according to exchange data. The stock hit an intraday high of Rs 4570.95 and a low of Rs 4448.0 during the session and quoted a 52-week high price of Rs 6573.05 and a 52-week low of Rs 3514.0. 
ETMarkets Smart Talk: Indiaâ€™s investable landscape wider than other EMs despite premium valuations: Piyush Sharma
 The stock's beta value, which measures its volatility in relation to the broader market, stood at 0.71. 


 Technical Indicators

 The 200-DMA (day moving average) of the stock stood at Rs 5049.86 on June 23, while the 50-DMA was at Rs 5025.62. If a stock trades above 50-DMA and 200-DMA, it usually means the immediate trend is upward. On the other hand, if the stock trades below 50-DMA and 200-DMA, it is considered a bearish trend. If it trades between 50-DMA and 200-DMA, then it suggests the stock can go either way. 

 The Relative Strength Index (RSI) of the stood at 30.48. The RSI oscillates between zero and 100. Traditionally, a stock is considered overbought when the RSI value stands above 70 and oversold when it is below 30. 


 Promoter holding 

 As of 31-Mar-2022, promoters held 51.09 per cent stake in the company, while FIIs held 13.33 per cent and domestic institutional investors had 3.89 per cen",negative
"Rakesh Jhunjhunwala NEW DELHI: Jubilant Pharmova, whose shares have fallen 55 per cent from their 52-week high levels, reported a weak set of quarterly numbers, with margins taking a big hit due to pricing pressures in the US market, declining covid contract revenue and import alert at Roorkee site.

The numbers though beat analysts' muted projections.

Analysts said near to medium term growth would remain under pressure due to regulatory issues, slow recovery in the API business and inflated costs, but felt the recent correction on the counter has made valuations reasonable. They have price targets that suggest flat to 30 per cent potential upside on the counter.

Ace investor Rakesh Jhunjhunwala and his better half Rekha held 6.8 per cent stake in this drug maker as of March 31, up from 6.3 per cent in the December quarter.

The company reported a 72 per cent drop in profit at Rs 59.55 crore for the March quarter compared with Rs 213.90 crore. Revenue for the quarter fell 3.9 per cent to Rs 1,524.57 crore from Rs 1,586.47 crore YoY. Ebitda margin stood at 16.2 per cent, down 752 basis points YoY.

Sequentially, revenue was up 16 per cent, profit rose 17 per cent while Ebitda margin was up 137 basis points.

ICICI Securities has cut its target price on the stock to Rs 447 from Rs 550 but has upgraded the stock rating to 'add' against 'hold' earlier as it believes valuations have turned reasonable after the recent correction. 

Motilal Oswal Securities finds the stock worth Rs 430, at 7 times EV/Ebitda, as it sees flat earnings growth for FY23.

Among the key segments, generics sales fell 29 per cent YoY and accounted for 14 per cent of sales for the quarter. The import alert at its Roorkee site, pricing pressure in the US, and lower Remdesivir sales impacted its performance in generics, Motilal Oswal said.

Contract development and manufacturing operations (CDMO) sales declined 19 per cent and accounted for 31 per cent of sales, as Covid-related deals tapered off.

Specialty pharma, which accounted for 45 per cent sales, grew 15 per cent while sales from contract research and development services (9 per cent of sales), grew 51 per cent YoY.

Near term drivers are weak, Nirmal Bang Institutional Equities, while suggesting a couple of medium to long term business drivers including reorganisation of API and drug discovery businesses into a single entity should help the company build a larger scale. The reorganisation is expected to be completed in July.

""In the long term, we see the ongoing capacity expansion (US$92mn investment) in the CMO business adding value post FY24. The generics business can recover once the import order on the Roorkee facility is lifted. Radiopharma can surprise on the upside in the medium term, led by their efforts in building an innovative pipeline. The most near term target is MIBG, which is being evaluated in Phase 2/3 trials,"" Nirmal Bang said while suggesting a target of Rs 532 on the counter. 

(Disclaimer: Recommendations, suggestions, views, and opinions given by the experts are their own. These do not represent the views of Economic Times)



",negative
"AgenciesMazhar Mohammad of Chartviewindia.in said technical indicators are turning mixed as the weekly MACD chart has generated a 'buy' signal, giving an edge to the bulls.Shares of Piramal Enterprises Ltd. fell 1.36 per cent to Rs 2131.85 in Monday's trade as of 01:23PM (IST) even as the benchmark Nifty ruled at 17023.25, down 79.3 points. 

 The scrip had closed at Rs 2161.35 in the previous session. The stock quoted a 52-week low of Rs 1616.1 and a high of Rs 3013.0. The company quoted a market-cap of Rs 51177.85 crore on the BSE. 

 On BSE, 9,288 shares have changed hands on the counter so far. At its prevailing price, the stock traded at 41.19 times its trailing 12-month EPS of Rs 52.06 per share and 1.22 times its book value. The return on equity (ROE) stood at Rs 4.1. 
ETMarkets Smart Talk: Srikanth Subramanian decodes factors that could derail momentum on D-St

 Key Financials 
 For the quarter ended 31-Dec-2021, Piramal Enterprises Ltd. reported consolidated sales of Rs 4067.19 crore, up 24.58 per cent from the same quarter a year ago. The company reported 9.67 per cent YoY growth in net profit at Rs 855.08 crore for the latest quarter. 


 Technical indicators
 The relative strength index (RSI) of the stock stood at Monday. The RSI oscillates between zero and 100. Traditionally, it is considered overbought condition when the RSI value is above 70 and oversold when it is below 30. 

 Analysts say the RSI indicator should not be seen in isolation, as it may not be sufficient to take a trading call, just the way a fundamental analyst cannot give a ""buy"" or ""sell"" recommendation using a single valuation ratio.",negative
"ReutersNifty continues to climb a wall of worry as it looks to be in the final leg of its rally before heading for a correction.Shares of Petronet LNG Ltd. slipped 2.02 per cent to Rs 203.6 in Friday's trade. It hit a high of Rs 209.05 and low of Rs 203.4 during the session. 

 On the technical charts, the 200-DMA of the stock stood at Rs 219.44, while the 50-DMA was at Rs 204.89. If a stock trades above 50-DMA and 200-DMA, it usually means the immediate trend is upward. On the other hand, if the stock trades below 50-DMA and 200-DMA, it is considered a bearish trend and if trades between these averages, then it suggests the stock can go either way. 

 The stock traded above the signal line of momentum indicator moving average convergence divergence, or MACD, signalling a bullish bias on the counter. The MACD is known for signalling trend reversal in traded securities or indices. It is the difference between the 26-day and 12-day exponential moving averages. A nine-day exponential moving average, called the signal line, is plotted on top of the MACD to reflect ""buy"" or ""sell"" opportunities. 

 On the other hand, the Relative Strength Index (RSI) of the stock stands at 49.68. Traditionally, a stock is considered overbought when the RSI value is above 70 and oversold when it is below 30. 

 The return on equity (RoE) for the stock stood at 24.89 per cent while the Return on Capital Employed (RoCE) was at 18.07. RoCE is a financial ratio that determines a company's profitability and the efficiency of capital use, while the RoE is a measure of profitability of a business in relation to the equit",negative
"APTOKYO: Asian stocks slipped in volatile trade on Wednesday, failing to extend Wall Street's rally as persistent worries about interest rates and inflation remained a key focus for investors, while the Japanese yen hit a fresh 24-year low against the dollar.

 MSCI's broadest index of Asia-Pacific shares outside Japan fell 1%, but was still up 1.39% on the more than five-week low it hit on Monday. Tokyo's Nikkei gave up early gains and was flat.

 Investors are continuing to assess how worried they need to be about central banks pushing the world economy into recession as they attempt to curtail red hot inflation with interest rate increases.

 The main U.S. share benchmarks rose 2% overnight on the possibility the economic outlook might not be as dire as thought during trade last week when the S&P 500 logged its biggest weekly percentage decline since March 2020.

 ""I think that this recent post-holiday bear market rally is a reflection of the uncertainty that investors have regarding whether we have seen the peak of inflation and Fed hawkishness or not - I think we're close,"" said Invesco global market strategist for Asia Pacific David Chao.

 ""Even though I suspect global equity markets could end higher at the end of the year than where we are today, it's conceivable to expect continued market volatility until it becomes clear that the Fed is not going to force the U.S. economy into contraction in order to tamp down persistent levels of inflation.""

 In a sign Wall Street may not be able to repeat Tuesday's rally, S&P 500 and Nasdaq futures both fell over 0.5%.

 Chinese blue chips lost 0.4%, Hong Kong's Hang Seng Index fell 0.9% and Korea's KOSPI was down 1.78%.

 U.S. Federal Reserve chair Jerome Powell is due to start his testimony to Congress today with investors looking for further clues about whether another 75 basis point rate hike is on the cards at the Fed's July meeting.

 Most other global central banks are in a similar situation, apart from the Bank of Japan, which last week pledged to maintain its policy of ultra-low interest rates.

 The gap between low interest rates in Japan and rising U.S. rates has been weighing on the yen, which hit a new 24-year low of 136.71 per dollar in early trading, before drifting firmer to 136.18,

 Minutes from the Bank of Japan's April policy meeting released Wednesday showed the central bank's concerns over the impact that the plummeting currency could have on the country's business environment.

 Other currency moves were more muted on Wednesday, with the dollar index, which tracks the greenback against six peers, a touch firmer at 104.6.

 The yield on benchmark U.S. 10 year Treasuries was fairly steady at 3.2674.

 Oil prices fell, with U.S. President Joe Biden expected on Wednesday to call for a temporary suspension of the 18.4-cents a gallon federal tax on gasoline, a source briefed on the plan told Reuters. Brent dropped 2.1% to $112.27 a barrel, while U.S. crude fell 2.21% to $108.09.

 Spot gold dropped 0.21%, trading at $1828.70 an ounce.

 Bitcoin continued to trade around $20,640 after falling as low as $17,592 last week.
",negative
"Shutterstock.comIndia 10-year bond yield jumped 0.38 per cent to 6.03 after trading in 6.01 - 6.04 range.Shares of Petronet LNG Ltd. gained 0.36 per cent to Rs 207.0 in Wednesday's session as of 10:05AM (IST) even as the equity benchmark Sensex traded 607.45 points lower at 51924.62. 

 Earlier in the day, the stock witnessed a start to the session. The stock quoted a 52-week high price of Rs 243.0 and a 52-week low of Rs 190.3 on NSE. Around 29311 shares changed hands on the counter till 10:05AM (IST). 

 The stock opened at Rs 206.25 and has touched an intraday high and low of Rs 210.55 and Rs 204.95 during the session so far. The counter quoted a price-to-earnings (PE) ratio of 9.12, earnings per share (EPS) of Rs 22.92 and price to book value (PB) of 2.13, while the return on equity (ROE) stood at Rs 25.15. 
ETMarkets Smart Talk: Indiaâ€™s investable landscape wider than other EMs despite premium valuations: Piyush Sharma

 Promoter/ FII Holding The promoters held 50.0 per cent stake in the company as of June 22, while FII and MF ownerships stood at 33.6 per cent and 3.16 per cent, respectively. 


 Key Financials 
 With a market capitalisation of Rs 31350.0 crore, the company operates in the Gas Storage & Distribution industry. For the quarter ended 31-Mar-2022, the company reported consolidated sales of Rs 11241.74 crore, down 11.27 per cent from the previous quarter?s Rs 12669.14 crore and down 47.44 per cent from the same quarter a year ago. The company reported net profit of Rs 790.98 crore for the latest quarter, up 23.99 per cent from the corresponding quarter last year. 


 Technical Indicators  The relative strength index (RSI) of the stock stands at 41.81. The RSI oscillates between zero and 100. Traditionally, it is considered overbought condition when the RSI value is above 70 and oversold condition when it is below 30. Analysts say the RSI indicator should not be seen in isolation, as it may not be sufficient to take a trading call, just the way a fundamental analyst cannot give a ""buy"" or ""sell"" recommendation using a single valuation rati",negative
"New Delhi: Shares of CarTrade Tech nosedived about 10 per cent in early trade on Thursday after the company reported a disappointing performance in March 2022 quarter.

The company reported a net loss of Rs 31.68 crore for the quarter ended March 31, 2022. It reported a net profit of Rs 10.21 crore in the same period previous year.

Following the development, shares of CarTrade Technologies tumbled about 10 per cent to Rs 573.50, before trading at Rs 589.55 at 9.50 am. The scrip had settled at Rs 636.10 on Wednesday.

However, sales of the company rose 17.64 per cent to Rs 36.48 crore in the quarter ended March 2022 as against Rs 31.01 crore during the previous quarter ended March 2021.

Listed in August 2021, CarTrade Tech is trading about 65 per cent below its issue price of Rs 1,618. However, the scrip has jumped about 38 per cent from its 52-week low of Rs 462.10 hit in February 2022.

For the full year 2021-22, it reported a net loss of Rs 146.07 crore in the year ended March 2022 as against net profit of Rs 79.41 crore during the previous year ended March 2021, despite a 35 per cent rise in sales to Rs 124.85 crore.

Incorporated in 2000, CarTrade Tech Ltd is a multi-channel auto platform provider company. The company operates various brands such as CarWale, CarTrade, Shriram Automall, BikeWale, CarTradeExchange, Adroit Auto, and AutoBiz.

Recently, the global brokerage Nomura has initiated coverage on CarTrade Tech with 'Buy' rating and a target price of Rs 770, signaling a upside of 35 per cent from Thursday's lows.

It believes the company has high growth visibility and will benefit from rising digital spends by auto OEMs (original equipment makers) and dealers. Further, at current levels, it said, the stock is inexpensive given growth prospects.

The company reported 30 million average monthly unique visitors for Q4 FY22, of which 84.20 per cent were organic. The number of listings for auction were 11,63,235 for FY22.

Another brokerage firm, Kotak Institutional Equities has an add call on CarTrade with a target price of Rs 675. It said it notes that the company has Rs 10 billion of cash on books as of March 2022 which it plans to utilize for inorganic growth.
",negative
"ReutersOn an immediate basis, 15,770/52,500 and 15,850/52,700 levels would be major hurdles.Shares of DLF Ltd. traded 3.08 per cent down at Rs 334.85 at 01:44PM (IST) on Wednesday, even as BSE benchmark Sensex dropped 298.76 points to 55267.65. The scrip had settled at Rs 345.5 in the previous session. 

 The stock quoted a 52-week high and 52-week low of Rs 449.8 and Rs 279.45, respectively. 

 As per BSE data, total traded volume on the counter till 01:44PM (IST) stood at 01:44PM shares with turnover at Rs 3.38 crore. 
ETMarkets Smart Talk: Indiaâ€™s investable landscape wider than other EMs despite premium valuations: Piyush Sharma
 At the current price, the stock trades at 55.42 times its trailing 12-month EPS of Rs 6.06 per share and 2.59 times its price-to-book value, the exchange data showed. 

 A higher P/E ratio shows investors are willing to pay a higher share price today because of growth expectations in the future. Price-to-book value indicates the inherent value of a company and is the measure of the price that investors are ready to pay even for no growth in the business. 

 The Beta value of the stock, which measures its volatility in relation to the broader market, stood at 1.85. 


Shareholding Details
 Promoters held 74.95 per cent stake in the company as of 31-Mar-2022, while FIIs owned 16.35 per cent and DIIs 3.14 per cen",negative
"Shutterstock.comAgarwal said the global economy is showing clear signs of recovery. The second wave of Covid-19 is ebbing in India with total active cases at less than 20 per cent of May highs.Shares of Adani Transmission Ltd. traded at Rs 2766.95 on BSE at 01:03PM (IST) on Wednesday, down 1.35 per cent from previous close. 

 The scrip quoted a 52-week low price of Rs 860.5 and a high of Rs 3000.0. 

 Earlier, the stock saw a gap down opening in the morning. 
ETMarkets Smart Talk: Why this fund manager is happy to watch rally in Adani stocks from sidelines
 A total of 300,331 lakh shares changed hands on the counter till 01:03PM (IST). 

 The stock of Adani Transmission Ltd. commanded a market value of Rs 308491.23 crore, according to BSE. 

 The stock traded at a price-to-earning (P/E) multiple of 254.23, while the price-to-book value ratio stood at 16.41. Return on equity (ROE) was at 20.1 per cent, according to exchange data. 

 In the BSE500 pack, 143 stocks traded in the green, while 358 stocks were in the red. 

 The stock's beta value, which measures volatility in relation to the broader market, stood at 1.36. 


 Promotor/FII Holding
 Promoters held 66.33 per cent in Adani Transmission Ltd. as of 31-Mar-2022 while foreign and domestic institutional investors owned 20.57 per cent and 0.15 per cent, respectively. 


Moving averages The 200-DMA of the stock stood at 1831.97 on May 04, while the 50-DMA was at 2391.6. If a stock trades below 50-DMA and 200-DMA, it usually means the immediate trend is upward. On the other hand, if the stock trades below 50-DMA and 200-DMA, it is considered as bearish trend and if trades between 50-DMA and 200-DMA, then it suggests the stock can go either way.
",negative
"AgenciesRecently, seasoned investor Rakesh Jhunjhunwala increased his stake in Titan Company in the December quarter to 4.02 per cent from 3.80 earlierAlready under the bear grip, 'Big Bull' Rakesh Jhunjhunwala's favourite stock Titan on Friday nosedived over 7 per cent to hit a low of Rs 1,911. The Tata Group stock has so far crashed over 30 per cent from its 52-week high of Rs 2,767.55 on BSE on March 21.

Today's fall was the sharpest fall in the stock of the luxury goods firm Titan Company in the last two years.

Earlier this month, the Jhunjhunwalas had pared their holding in Delta Corp to 3.365 per cent from a 6.169 per cent stake as of May 31.

Not just Jhunjhunwala, who along with his better half Rekha owned 5.1 per cent stake in the Tata Group company, several other long-term investors have been bullish on Titan stock. PMS fund manager Saurabh Mukherjea had recently said that after TCS and HDFC Bank, Titan is the third stock that can become a $1 trillion company after 10 years.

The bluechip stock has surged over 900 per cent in the last 10 years. While brokerages continue to remain bullish on this Tata group company, analysts see further selling pressure on the stock amid inflationary pressures and expensive valuations.

An average price target on the stock at Rs 2,598, as suggested by Trendlyne, hints at a potential 35 per cent upside on the counter.

Last month, Titan announced that it is aiming at a growth of 2.5 times in its flagship jewellery business in the next five years. According to the company, there is a ""huge headroom in a geographically fragmented market"", as it has only a 6 per cent market share of the Rs 4 lakh crore market.

For FY23, Titan expects a 40 per cent growth in its top line and 50 per cent in EBITDA (Earnings Before Interest, Taxes, Depreciation and Amortisation).


(Disclaimer: Recommendations, suggestions, views and opinions given by the experts are their own. These do not represent the views of Economic Times)

",negative
"AgenciesThe dollar, which has benefited from safe-haven flows and expectations of rising U.S. rates, remained firm on Friday. Against a basket of peers, the greenback was up 0.08% at 98.396, and up 0.55% against the yen at 122.33.SHANGHAI: Asian shares fell on Friday following the biggest quarterly drop in global equities in two years, as investors worried about the impact of the Russian-Ukrainian war and rising risks of recession.

 On Thursday, Russian President Vladimir Putin struck back at Western sanctions on Moscow, threatening to halt contracts supplying Europe with a third of its gas unless they are paid in roubles. The move prompted Germany, the most reliant on Russian gas, to accuse him of ""blackmail"" as it activated an emergency plan that could lead to rationing.

 Reflecting the gloomy mood as a result of supply disruptions and surging raw material costs, Japanese business confidence hit a nine-month low in the first quarter according to a Bank of Japan survey, with companies indicating they expect conditions to worsen further.

 In Tokyo, the Nikkei was down 0.75% in morning trade, while MSCI's broadest index of Asia-Pacific shares outside Japan was 0.70% lower.

 Hong Kong's Hang Seng dipped 1.1%, while Seoul's Kospi lost about 0.6%. Chinese blue-chips turned around from a lower open to rise 0.7%.

 MSCI's global share index, and U.S. and European shares all notched their biggest quarterly drops since the outbreak of the COVID-19 pandemic in 2020 in the quarter that ended on March 31. Investors have been worried that surging price pressures could force global central banks into aggressive rate hikes, potentially triggering recessions.

 But the quarterly drop in U.S. shares masks a late comeback in the S&P500 index, which rallied from a near-13% decline to finish the quarter off about 5%, defying worries over tighter monetary policy and global instability, and in contrast to signals sent by bond markets.

 ""A seeming end to the Ukraine conflict would in many respects make it easier for the Fed to stick to its hawkish line given the rally in growth stocks, and related decline in credit spreads, means an improvement in financial conditions,"" said Christopher Wood, global and Asia equity strategist at Jefferies. 

 ""Political pressure remains, for now at least, on the Fed to tighten.""

 Investors will be watching U.S. March jobs data later on Friday for indications of wage inflation, in addition to the headline jobs figure.

 The closely watched spread between U.S. two-year and 10-year notes was barely above zero on Friday morning, after briefly inverting.

 An inversion in this part of the U.S. yield curve is viewed as a reliable signal that a recession may follow in one to two years. 

 Benchmark 10-year notes last yielded 2.3781%, from 2.325% late on Thursday while the 2-year yield was a 2.3648%, from 2.284%.

 In energy markets, oil prices stabilised following a plunge on Thursday triggered by Washington's announcement that it would make the largest-ever release from U.S. emergency oil reserves, part of a broad effort to rein in galloping inflation.

 While U.S. crude was last down about 0.1% at $100.18 per barrel, global benchmark Brent crude edged 0.12% higher to $104.84.

 The dollar, which has benefited from safe-haven flows and expectations of rising U.S. rates, remained firm on Friday. Against a basket of peers, the greenback was up 0.08% at 98.396, and up 0.55% against the yen at 122.33.

 The euro inched higher to $1.1069.

 Gold was stable after its biggest quarterly gain in two years. Spot gold was last quoted at $1,937.05 per ounce. [GOL/]


",negative
"New Delhi: A high-powered Sebi committee on Tuesday asked investors in illegal schemes of PACL to submit their original registration certificates till June 30 only after receiving an SMS from the panel. This is applicable only for those investors whose claim money is between Rs 10,001 and Rs 15,000 and whose applications have been verified. 

 ""The window for accepting original certificates shall remain open from April 1, 2022 to June 30, 2022,"" the Securities and Exchange Board of India (Sebi) said in a press release. 

 The markets regulator had set up a committee headed by former Chief Justice of India R M Lodha following a Supreme Court order to refund money to investors in the matter of PACL Group. 

 The panel is overseeing the process of disposing of properties to refund investors after verifying their genuineness. It has already initiated the process of refund in phases. 

 PACL, also known as Pearl Group, which had raised money from the public in the name of agriculture and real estate businesses, was found by Sebi to have collected more than Rs 60,000 crore through illegal collective investment schemes (CIS) over a period of 18 years. 

 In the press release, the Lodha Committee said it has ""decided to call for original PACL registration certificate from eligible investors with claims between Rs 10,001 and Rs 15,000, whose applications have been successfully verified"". 

 To this end, an SMS will be sent to the eligible investors asking them to submit original registration certificates. 

 PACL investors who receive SMS from the committee requiring submission of original certificates issued to them by PACL, will have to forward the same by registered or speed post to Sebi's headquarter in Mumbai. 

 In December 2015, Sebi had ordered attachment of all assets of PACL and its nine promoters and directors for their failure to refund the money due to investors. 

 Sebi had asked PACL as also its promoters and directors to refund the money in an order passed in August 2014. Also, the defaulters were directed to wind up the schemes and refund money to the investors within three months from the date of the order.
T",negative
"Didi Global Inc will hold an extraordinary general meeting (EGM) on May 23 to vote on its delisting plans in the United States, the Chinese ride-hailing giant said in a statement on Saturday.

 The company also said it will not apply to list its shares on any other stock exchange before the delisting of its American Depositary Shares from the New York Stock Exchange (NYSE) was complete. 

 It added that it will continue to explore appropriate measures that include exploring a potential listing on another internationally recognized exchange, it said. 

 Didi announced in December that it would delist from the NYSE and pursue a listing in Hong Kong after it ran foul of Chinese regulators by pushing ahead with its $4.4 billion U.S. IPO last year.

 Chinese regulators had urged the firm to put its listing on hold while a cybersecurity review of its data practices was conducted, sources have told Reuters. 

 Days after it went ahead, the country's powerful cyberspace watchdog ordered app stores to remove 25 mobile apps operated by Didi and told the company to stop registering new users, citing national security and the public interest.

 China's securities regulator, in a statement noting Didi's Saturday announcement, said the decision was one that the company had made independently and had nothing to do with other U.S.-listed Chinese stocks or ongoing efforts between Chinese regulators and their U.S. counterparts to resolve an audit dispute affecting U.S.-listed Chinese firms.

 Didi's total revenue for the quarter ended Dec. 31, 2021 fell to 40.8 billion yuan ($6.40 billion) from 46.7 billion yuan a year earlier, the company said in a separate statement also issued on Saturday. 


T",negative
"Getty ImagesIndia 10-year bond yield rose 0.05 per cent to 6.03 after trading in 6.02-6.04 range.Shares of Larsen & Toubro Infotech Ltd. slipped 2.22 per cent to Rs 4031.9 in Wednesday's trade as of 01:03PM (IST). It hit a high of Rs 4125.0 and low of Rs 4012.2 during the session. 

 The stock quoted a 52-week high price of Rs 7595.25 and a low of Rs 3733.25. The return on equity for the stock stood at 26.05 per cent. About 6,433 shares have changed hands on the counter so far. 

 The stock's beta value, which measures its volatility in relation to the broader market, stood at 0.59. 
ETMarkets Smart Talk: Srikanth Subramanian decodes factors that could derail momentum on D-St
 The scrip has been an underperformer, down 1.95 per cent in the past one year in comparison with a 1.64 per cent fall in Sensex. 


Technicals
 On the technical charts, the 200-day moving average (DMA) of the stock stood at Rs 3733.25 on June 22, while the 50-DMA was at Rs 4502.01. If a stock trades well above 50-DMA and 200-DMA, it usually means the immediate trend is upward. On the other hand, if the stock trades well below 50-DMA and 200-DMA both, it is considered a bearish trend and if trades between these averages, then it suggests the stock can go either way. 


 Promoter/FII Holding 
 Promoters held 74.05 per cent stake in Larsen & Toubro Infotech Ltd. as of 31-Mar-2022. Mutual funds and foreign institutional investors held 5.65 per cent and 10.08 per cent stak",negative
"AgenciesIndusInd Bank, part of the private sector banking space, has fallen over 30 per cent from its October 2021 highs firmly placing the stock in a bear grip and chart patterns suggest that the pressure is likely to continue.

The stock with a market capitalisation of more than Rs 63,000 crore hit a 52-week high of Rs 1241 on 28 October 2021 but failed to hold on to the momentum. It closed at Rs 806 on 24 June 2022 which translates into a downside of over 35 per cent.

The private sector bank broke below the crucial support above the Rs 800 levels earlier in the month of June 2022 and formed a Head & Shoulder type of pattern on the weekly charts. 
ETMarkets Smart Talk: Indiaâ€™s investable landscape wider than other EMs despite premium valuations: Piyush Sharma
Head and shoulders is one of the many popular chart patterns widely used by investors and traders to determine market trend. This pattern occurs on the chart when the stock/index price hits its peak and declines thereafter. Also Read


https://economictimes.indiatimes.com/definition/head-and-shoulders

The stock broke below the neckline of the pattern earlier in June 2022 but stock price action seen in the last few sessions pushed the price above Rs 800 after hitting a 52-week low of Rs 763 on 23 June 2022.

But chart structure still remains weak and the short-term traders can look for shorting opportunities in the stock for a target of Rs 650 on the downside, suggest experts.

Image 1 
Agencies
On the price front, the stock is trading below 20, 30, 50, 100 and 200 DMA but above 5 and 10-DMA.

MACD is below its signal and center line, this is a strong bearish indicator. The Relative Strength Index (RSI) is at 36.4. RSI below 30 is considered oversold and above 70 is considered overbought, Trendlyne data showed.

From higher time frame to lower time frame, IndusInd Bankâ€™s stock chart structure harps on the same string and tilts towards negative development.

â€œStock is reacting from the quarterly chart resistance band and its ripple effect can be seen on the lower time frame chart. On the weekly chart, stocks have formed a Head & Shoulder pattern for the duration of 82 weeks,â€ Kapil Shah, Technical Analyst, Emkay Global Financial Services Limited and Trainer at FinLearn Academy, said.

â€œPatterns that take a larger time to form are considered to be more powerful. In an ongoing week, Stock has breached the neckline or support line which confirms the negative implication of the pattern,â€ he added.

From the Oscillator perspective, MACD has given a negative crossover in the negative zone which is a bearish continuation sign. 

Based on the above rationale, the stock offers a short opportunity in the zone of Rs 787 to Rs 800 with stop loss at Rs 835 level on a closing basis, recommends Shah.

â€œOn the downside, Stock has immediate support at the Rs 650 level. With this setup, stock offers a risk-reward ratio of 1:3 and the duration of this view can be around 1 to 2 months,â€ he added.


(Disclaimer: Recommendations, suggestions, views, and opinions given by the experts are their own. These do not represent the views of Economic Times)

",negative
"Getty ImagesNagaraj Shetti, Technical Research Analyst at HDFC Securities, believes Monday's pattern could be considered as a High Wave, which reflects high volatility in the market at swing highs.INSIGHTS 
    	                    Read Stock Insights by ET for a quick analysis
    	                NSEBSERegency Fincorp Ltd.PEER COMPANIESExplore NowNEW DELHI: Several stocks plunged in excess of 5 per cent in Mumbai trading on Thursday even as equity benchmark BSE Sensex traded 77.74 points up at 53104.71 amid brisk buying in frontline bluechip counters. 

 On the BSE, Shri Krishna(down 18.91 per cent), Salasar Techno Engg(down 9.92 per cent), Regency Investments(down 9.64 per cent), HLV Ltd.(down 9.64 per cent) and Sita Enterprises(down 9.61 per cent) were among the stocks that plunged over 5 per cent during the session. 

 In the Nifty pack, 17 stocks traded in the green, while 33 stocks traded in the red. 

 The Nifty index was trading 11.25 points up at 15810.35. 

 On the BSE, Seacoast Shipping, Lasa Supergenerics, Star Health, GTL Infra and Electrotherm hit their fresh 52-week lows, while Ratnamani Metal, Orient Bell, Sumuka Agro Ind., Rose Merc. Ltd. and Axita Cotton touched their fresh 52-week highs.",negative
"ReutersStocks in focus: RIL, Tata Motors, Infosys, IIFL Securities, Apollo Hospitals, Punjab National Bank, NBCC and more..NEW DELHI: The Nifty Bank index closed on a negative note on Wednesday. 

 Shares of Axis Bank(up 0.69 per cent) and Kotak Mahindra Bank(up 0.35 per cent) ended the day as top gainers in the pack. 

 On the other hand, Bandhan Bank(down 3.15 per cent), Bank of Baroda(down 2.64 per cent), AU Small Finance Bank(down 2.46 per cent), State Bank of India(down 1.99 per cent) and Punjab National Bank(down 0.83 per cent) finished as the top losers of the day. 

 The Nifty Bank index closed 0.4 per cent down at 34163.7. 

 Benchmark NSE Nifty50 index ended down 19.0 points at 16240.3, while the BSE Sensex stood down 109.94 points at 54208.53. 

 Among the 50 stocks in the Nifty index, 26 ended in the green, while 24 closed in the red. 

 Shares of YES Bank, Vodafone Idea, Zomato Ltd., Indian Oil Corp. and Suzlon Energy were among the most traded shares on the NSE. 

 Shares of BLS Int. Services, GE Shipping, MRPL, Vadilal Ind and Gokaldas Export hit their fresh 52-week highs in today's trade, while Route Mobile, Muthoot Capital, Metropolis Health, Dr Lal Pathlabs and Amber Enterprises hit their fresh 52-week lows. 

",negative
